Depth,Age,dD
533.5,22853.2,-439.5
534.05,22899.6,-445.5
534.6,22946,-441.7
535.15,22992.7,-443.3
535.7,23039.4,-441.9
536.25,23086.1,-444
536.8,23132.7,-442.9
537.35,23179.2,-440.2
537.9,23225.8,-436.1
538.45,23269.5,-438.6
539,23313.3,-434.9
539.55,23357.1,-439.5
540.1,23402.9,-440.7
540.65,23448.7,-438.3
541.2,23494.5,-447.2
541.75,23542.9,-441.8
542.3,23591.3,-439.3
542.85,23639.7,-441.3
543.4,23686.1,-437.7
543.95,23732.6,-438.9
544.5,23779,-439.9
545.05,23825.7,-437.4
545.6,23872.4,-439.3
546.15,23919.1,-441.4
546.7,23969.7,-441.8
547.25,24020.4,-448.1
547.8,24071.1,-445.4
548.35,24123,-443.4
548.9,24174.9,-442.8
549.45,24226.9,-449.3
550,24279.9,-443.8
550.55,24332.9,-442.1
551.1,24385.9,-440
551.65,24436.6,-439.7
552.2,24487.3,-444.3
552.75,24537.9,-441.7
553.3,24592,-446.2
553.85,24646,-446.4
554.4,24700,-433.5
554.95,24750.4,-439.7
555.5,24800.8,-445.2
556.05,24851.2,-447.1
556.6,24907.7,-446.2
557.15,24964.2,-445.6
557.7,25020.7,-445.2
558.25,25076,-443.1
558.8,25131.4,-444.9
559.35,25186.8,-442.2
559.9,25242.5,-444.9
560.45,25298.2,-445.6
561,25353.9,-444.9
561.55,25408.9,-442
562.1,25464,-442
562.65,25519,-447.2
563.2,25578.1,-448.9
563.75,25637.2,-447.9
564.3,25696.3,-443.2
564.85,25753.3,-445.2
565.4,25810.3,-445
565.95,25867.3,-444
566.5,25922.8,-443.2
567.05,25978.2,-441.8
567.6,26033.7,-447.2
568.15,26089.9,-446.2
568.7,26146.1,-443.2
569.25,26202.3,-448.9
569.8,26257,-439.6
570.35,26311.8,-443.7
570.9,26366.5,-447.3
571.45,26421.7,-439.9
572,26476.9,-445.2
